[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 9.07
[File, System, Image] FileName - File Name: Flash.swf
[File, System, Image] Directory - Directory: t/images
[File, System, Image] FileSize - File Size: 384 bytes
[File, System, Time] FileModifyDate - File Modification Date/Time: 2008:10:23 16:27:45-04:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2012:11:19 15:31:05-05:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2012:11:17 09:18:25-05:00
[File, System, Image] FilePermissions - File Permissions: rw-r--r--
[File, File, Image] FileType - File Type: SWF
[File, File, Image] MIMEType - MIME Type: application/x-shockwave-flash
[Flash, Flash, Video] FlashVersion - Flash Version: 6
[Flash, Flash, Video] Compressed - Compressed: False
[Flash, Flash, Video] ImageWidth - Image Width: 50
[Flash, Flash, Video] ImageHeight - Image Height: 50
[Flash, Flash, Video] FrameRate - Frame Rate: 12
[Flash, Flash, Video] FrameCount - Frame Count: 1
[Flash, Flash, Video] Duration - Duration: 0.08 s
[XMP, XMP-x, Document] xmptk - XMP Toolkit: Image::ExifTool 7.50
[XMP, XMP-pdf, Author] Author - Author: Phil
[Composite, Composite, Image] ImageSize - Image Size: 50x50
