[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 9.81
[File, System, Image] FileName - File Name: XMP.svg
[File, System, Image] Directory - Directory: t/images
[File, System, Image] FileSize - File Size: 1402 bytes
[File, System, Time] FileModifyDate - File Modification Date/Time: 2008:04:07 14:11:53-04:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2015:01:09 07:20:03-05:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2015:01:07 07:37:06-05:00
[File, System, Image] FilePermissions - File Permissions: rw-r--r--
[File, File, Image] FileType - File Type: SVG
[File, File, Image] MIMEType - MIME Type: image/svg+xml
[SVG, SVG, Image] width - Image Width: 4in
[SVG, SVG, Image] height - Image Height: 3in
[SVG, SVG, Image] version - SVG Version: 1.1
[SVG, SVG, Image] xmlns - Xmlns: http://www.w3.org/2000/svg
[SVG, SVG-myfoo, Unknown] myfoo:descTitle - Desc Title: This is a financial report
[SVG, SVG-myfoo, Unknown] myfoo:descDescrEmph - Desc Descr Emph: myfoo
[SVG, SVG-myfoo, Unknown] myfoo:descSceneWhat - Desc Scene What: widget $growth
[SVG, SVG-myfoo, Unknown] myfoo:descSceneContains - Desc Scene Contains: $three $graph-bar
[SVG, SVG-myfoo, Unknown] myfoo:descSceneWhen - Desc Scene When: 1998 $through 2000
[XMP, XMP-rdf, Document] about - About: http://example.org/myfoo
[XMP, XMP-dc, Image] title - Title: MyFoo Financial Report
[XMP, XMP-dc, Image] description - Description: $three $bar $thousands $dollars $from 1998 $through 2000
[XMP, XMP-dc, Author] publisher - Publisher: Example Organization
[XMP, XMP-dc, Time] date - Date: 2000:04:11
[XMP, XMP-dc, Image] format - Format: image/svg+xml
[XMP, XMP-dc, Other] language - Language: en
[XMP, XMP-dc, Author] creator - Creator: Irving Bird, Mary Lambert
[Composite, Composite, Image] ImageSize - Image Size: 4inx3in
[Composite, Composite, Image] Megapixels - Megapixels: 0.000012
