[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 9.07
[File, System, Image] FileName - File Name: PNG.png
[File, System, Image] Directory - Directory: t/images
[File, System, Image] FileSize - File Size: 572 bytes
[File, System, Time] FileModifyDate - File Modification Date/Time: 2006:10:27 11:44:00-04:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2012:11:19 15:31:05-05:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2012:11:17 09:18:25-05:00
[File, System, Image] FilePermissions - File Permissions: rw-r--r--
[File, File, Image] FileType - File Type: PNG
[File, File, Image] MIMEType - MIME Type: image/png
[PNG, PNG, Image] 0 - Image Width: 16
[PNG, PNG, Image] 4 - Image Height: 16
[PNG, PNG, Image] 8 - Bit Depth: 1
[PNG, PNG, Image] 9 - Color Type: Grayscale
[PNG, PNG, Image] 10 - Compression: Deflate/Inflate
[PNG, PNG, Image] 11 - Filter: Adaptive
[PNG, PNG, Image] 12 - Interlace: Noninterlaced
[PNG, PNG, Image] bKGD - Background Color: 0
[PNG, PNG, Image] Comment - Comment: test comment
[XMP, XMP-x, Document] xmptk - XMP Toolkit: Image::ExifTool 6.51
[XMP, XMP-dc, Author] creator - Creator: Phil Harvey
[Composite, Composite, Image] ImageSize - Image Size: 16x16
