[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 10.18
[File, System, Image] FileName - File Name: Sigma.x3f
[File, System, Image] Directory - Directory: t/images
[File, System, Image] FileSize - File Size: 1464 bytes
[File, System, Time] FileModifyDate - File Modification Date/Time: 2005:11:14 14:47:22-05:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2016:05:17 10:04:21-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2016:05:16 13:00:37-04:00
[File, System, Image] FilePermissions - File Permissions: rw-r--r--
[File, File, Image] FileType - File Type: X3F
[File, File, Image] FileTypeExtension - File Type Extension: x3f
[File, File, Image] MIMEType - MIME Type: image/x-sigma-x3f
[SigmaRaw, SigmaRaw, Other] 1 - File Version: 2.2
[SigmaRaw, SigmaRaw, Other] 2 - Image Unique ID: 303230303132333413d14f3a3b2aa914
[SigmaRaw, SigmaRaw, Other] 6 - Mark Bits: (none)
[SigmaRaw, SigmaRaw, Other] 7 - Image Width: 2268
[SigmaRaw, SigmaRaw, Other] 8 - Image Height: 1512
[SigmaRaw, SigmaRaw, Other] 9 - Rotation: 90
[SigmaRaw, SigmaRaw, Other] 10 - White Balance: Sunlight
[SigmaRaw, SigmaRaw, Camera] 1 - Exposure Adjust: 0.5
[SigmaRaw, SigmaRaw, Camera] 2 - Contrast: -1.1
[SigmaRaw, SigmaRaw, Camera] 3 - Shadow: -0.1
[SigmaRaw, SigmaRaw, Camera] 4 - Highlight: -2.0
[SigmaRaw, SigmaRaw, Camera] 5 - Saturation: -0.1
[SigmaRaw, SigmaRaw, Camera] 6 - Sharpness: -1.9
[SigmaRaw, SigmaRaw, Camera] 10 - X3 Fill Light: -1.7
[SigmaRaw, SigmaRaw, Camera] 7 - Red Adjust: 1.0
[SigmaRaw, SigmaRaw, Camera] 8 - Green Adjust: 0.9
[SigmaRaw, SigmaRaw, Camera] 9 - Blue Adjust: 0.9
[SigmaRaw, SigmaRaw, Camera] ISO - ISO: 100
[SigmaRaw, SigmaRaw, Camera] RESOLUTION - Quality: High
[SigmaRaw, SigmaRaw, Camera] WB_DESC - White Balance: Sunlight
[SigmaRaw, SigmaRaw, Camera] CAMMANUF - Make: SIGMA
[SigmaRaw, SigmaRaw, Camera] CAMMODEL - Model: SIGMA SD10
[SigmaRaw, SigmaRaw, Camera] CAMSERIAL - Serial Number: 02001234
[SigmaRaw, SigmaRaw, Camera] FIRMVERS - Firmware Version: 2.0.4.1586 Release
[SigmaRaw, SigmaRaw, Time] TIME - Date/Time Original: 2001:01:01 00:36:35
[SigmaRaw, SigmaRaw, Image] EXPTIME - Integration Time: 1/41
[SigmaRaw, SigmaRaw, Camera] FOCUS - Focus: Auto-focus Locked
[SigmaRaw, SigmaRaw, Camera] AFMODE - Focus Mode: AF-S
[SigmaRaw, SigmaRaw, Image] SHUTTER - Exposure Time: 1/108
[SigmaRaw, SigmaRaw, Camera] SH_DESC - Shutter Speed Displayed: 1/100
[SigmaRaw, SigmaRaw, Camera] FLASH - Flash Mode: Off
[SigmaRaw, SigmaRaw, Camera] PMODE - Exposure Program: Program
[SigmaRaw, SigmaRaw, Image] EXPCOMP - Exposure Compensation: 0
[SigmaRaw, SigmaRaw, Image] EXPNET - Net Exposure Compensation: 0
[SigmaRaw, SigmaRaw, Camera] AEMODE - Metering Mode: 8-segment
[SigmaRaw, SigmaRaw, Camera] DRIVE - Drive Mode: Single Shot
[SigmaRaw, SigmaRaw, Camera] LENSMODEL - Lens Type: Sigma Lens (0x145)
[SigmaRaw, SigmaRaw, Image] APERTURE - F Number: 8.4
[SigmaRaw, SigmaRaw, Camera] AP_DESC - Aperture Displayed: 8
[SigmaRaw, SigmaRaw, Camera] LENSARANGE - Lens Aperture Range: 29 to 4.5
[SigmaRaw, SigmaRaw, Camera] LENSFRANGE - Lens Focal Range: 15 to 30
[SigmaRaw, SigmaRaw, Camera] FLENGTH - Focal Length: 30.0 mm
[SigmaRaw, SigmaRaw, Camera] FLEQ35MM - Focal Length In 35mm Format: 51.0 mm
[Composite, Composite, Image] Aperture - Aperture: 8.4
[Composite, Composite, Image] ImageSize - Image Size: 2268x1512
[Composite, Composite, Image] Megapixels - Megapixels: 3.4
[Composite, Composite, Image] ShutterSpeed - Shutter Speed: 1/108
[Composite, Composite, Camera] LensID - Lens ID: Sigma 15-30mm F3.5-4.5 EX DG Aspherical
[Composite, Composite, Image] LightValue - Light Value: 12.9
[Composite, Composite, Camera] ScaleFactor35efl - Scale Factor To 35 mm Equivalent: 1.7
[Composite, Composite, Camera] CircleOfConfusion - Circle Of Confusion: 0.018 mm
[Composite, Composite, Image] FOV - Field Of View: 38.9 deg
[Composite, Composite, Camera] FocalLength35efl - Focal Length: 30.0 mm (35 mm equivalent: 51.0 mm)
[Composite, Composite, Camera] HyperfocalDistance - Hyperfocal Distance: 6.10 m
