[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 11.75
[File, System, Other] FileName - File Name: XMP_29_failed.jpg
[File, System, Other] Directory - Directory: t
[File, System, Other] FileSize - File Size: 3.2 kB
[File, System, Time] FileModifyDate - File Modification Date/Time: 2019:11:01 10:15:52-04:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2019:11:01 10:15:52-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2019:11:01 10:15:52-04:00
[File, System, Other] FilePermissions - File Permissions: rw-r--r--
[File, File, Other] FileType - File Type: JPEG
[File, File, Other] FileTypeExtension - File Type Extension: jpg
[File, File, Other] MIMEType - MIME Type: image/jpeg
[File, File, Image] ImageWidth - Image Width: 8
[File, File, Image] ImageHeight - Image Height: 8
[File, File, Image] EncodingProcess - Encoding Process: Baseline DCT, Huffman coding
[File, File, Image] BitsPerSample - Bits Per Sample: 8
[File, File, Image] ColorComponents - Color Components: 3
[File, File, Image] YCbCrSubSampling - Y Cb Cr Sub Sampling: YCbCr4:2:0 (2 2)
[XMP, XMP-x, Document] xmptk - XMP Toolkit: Image::ExifTool 11.75
[XMP, XMP-pdf, Author] Author - Author: Test
[XMP, XMP-pdf, Time] CreationDate - Creation Date: 2008:10:20 19:54:15
[XMP, XMP-pdf, Author] Creator - Creator: Guess Who
[XMP, XMP-pdf, Time] ModDate - Mod Date: 2008:10:20 19:54:15
[XMP, XMP-pdf, Author] Producer - Producer: Just ExifTool again
[XMP, XMP-pdf, Image] Title - Title: PDF Title
[Composite, Composite, Image] Exif::ImageSize - Image Size: 8x8
[Composite, Composite, Image] Exif::Megapixels - Megapixels: 0.000064
