[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 10.38
[File, System, Image] FileName - File Name: Sony.jpg
[File, System, Image] Directory - Directory: t/images
[File, System, Image] FileSize - File Size: 2.7 kB
[File, System, Time] FileModifyDate - File Modification Date/Time: 2006:01:04 14:02:27-05:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2016:12:30 10:42:02-05:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2015:03:07 15:31:55-05:00
[File, System, Image] FilePermissions - File Permissions: rw-r--r--
[File, File, Image] FileType - File Type: JPEG
[File, File, Image] FileTypeExtension - File Type Extension: jpg
[File, File, Image] MIMEType - MIME Type: image/jpeg
[File, File, Image] ExifByteOrder - Exif Byte Order: Little-endian (Intel, II)
[File, File, Image] ImageWidth - Image Width: 8
[File, File, Image] ImageHeight - Image Height: 8
[File, File, Image] EncodingProcess - Encoding Process: Baseline DCT, Huffman coding
[File, File, Image] BitsPerSample - Bits Per Sample: 8
[File, File, Image] ColorComponents - Color Components: 3
[File, File, Image] YCbCrSubSampling - Y Cb Cr Sub Sampling: YCbCr4:2:0 (2 2)
[EXIF, IFD0, Image] 270 - Image Description:                                
[EXIF, IFD0, Camera] 271 - Make: SONY
[EXIF, IFD0, Camera] 272 - Camera Model Name: DSC-F828
[EXIF, IFD0, Image] 274 - Orientation: Horizontal (normal)
[EXIF, IFD0, Image] 282 - X Resolution: 72
[EXIF, IFD0, Image] 283 - Y Resolution: 72
[EXIF, IFD0, Image] 296 - Resolution Unit: inches
[EXIF, IFD0, Time] 306 - Modify Date: 2003:12:18 13:51:33
[EXIF, IFD0, Image] 531 - Y Cb Cr Positioning: Co-sited
[EXIF, ExifIFD, Image] 33434 - Exposure Time: 1/250
[EXIF, ExifIFD, Image] 33437 - F Number: 7.1
[EXIF, ExifIFD, Camera] 34850 - Exposure Program: Program AE
[EXIF, ExifIFD, Image] 34855 - ISO: 64
[EXIF, ExifIFD, Image] 36864 - Exif Version: 0220
[EXIF, ExifIFD, Time] 36867 - Date/Time Original: 2003:12:18 13:51:33
[EXIF, ExifIFD, Time] 36868 - Create Date: 2003:12:18 13:51:33
[EXIF, ExifIFD, Image] 37121 - Components Configuration: Y, Cb, Cr, -
[EXIF, ExifIFD, Image] 37122 - Compressed Bits Per Pixel: 8
[EXIF, ExifIFD, Image] 37380 - Exposure Compensation: 0
[EXIF, ExifIFD, Camera] 37381 - Max Aperture Value: 2.0
[EXIF, ExifIFD, Camera] 37383 - Metering Mode: Multi-segment
[EXIF, ExifIFD, Camera] 37384 - Light Source: Unknown
[EXIF, ExifIFD, Camera] 37385 - Flash: Off, Did not fire
[EXIF, ExifIFD, Camera] 37386 - Focal Length: 12.5 mm
[EXIF, ExifIFD, Image] 40960 - Flashpix Version: 0100
[EXIF, ExifIFD, Image] 40961 - Color Space: sRGB
[EXIF, ExifIFD, Image] 40962 - Exif Image Width: 3264
[EXIF, ExifIFD, Image] 40963 - Exif Image Height: 2448
[EXIF, InteropIFD, Image] 1 - Interoperability Index: R98 - DCF basic file (sRGB)
[EXIF, InteropIFD, Image] 2 - Interoperability Version: 0100
[EXIF, ExifIFD, Image] 41728 - File Source: Digital Camera
[EXIF, ExifIFD, Image] 41729 - Scene Type: Directly photographed
[EXIF, ExifIFD, Image] 41985 - Custom Rendered: Normal
[EXIF, ExifIFD, Camera] 41986 - Exposure Mode: Auto bracket
[EXIF, ExifIFD, Camera] 41987 - White Balance: Auto
[EXIF, ExifIFD, Camera] 41990 - Scene Capture Type: Standard
[EXIF, ExifIFD, Camera] 41992 - Contrast: Normal
[EXIF, ExifIFD, Camera] 41993 - Saturation: Normal
[EXIF, ExifIFD, Camera] 41994 - Sharpness: Normal
[EXIF, IFD1, Image] 259 - Compression: JPEG (old-style)
[EXIF, IFD1, Camera] 271 - Make: SONY
[EXIF, IFD1, Camera] 272 - Camera Model Name: DSC-F828
[EXIF, IFD1, Image] 274 - Orientation: Horizontal (normal)
[EXIF, IFD1, Image] 282 - X Resolution: 72
[EXIF, IFD1, Image] 283 - Y Resolution: 72
[EXIF, IFD1, Image] 296 - Resolution Unit: inches
[EXIF, IFD1, Time] 306 - Modify Date: 2003:12:18 13:51:33
[EXIF, IFD1, Image] 513 - Thumbnail Offset: 2502
[EXIF, IFD1, Image] 514 - Thumbnail Length: 28
[EXIF, IFD1, Preview] ThumbnailImage - Thumbnail Image: (Binary data 28 bytes)
[MakerNotes, Sony, Camera] 8192 - Sony 0x2000: 0
[MakerNotes, Sony, Camera] 36865 - Sony 0x9001: ..­mQV„ûV„û.³9°9ŠJuÿ.Å¬]è^Ž¸.[...]
[MakerNotes, Sony, Camera] 36866 - Sony 0x9002: .JÚ`.p.V!.!¾ê¾ê0ÿ0ÿV!ˆPp,×.0c[...]
[MakerNotes, Sony, Camera] 36867 - Sony 0x9003: .ÜsF®&.¡ÒB.¯.....È..ûÙ;›Õ.utN½½½½½½(¶^w’[...]
[MakerNotes, Sony, Camera] 36868 - Sony 0x9004: ..,.,.,.,.ô.ô.ô.ô.ô.ô.ô.ôlêoÄ@.o”.,‚.,Ï.o‰3úM[...]
[MakerNotes, Sony, Camera] 36869 - Sony 0x9005: ..@o........}[...]
[MakerNotes, Sony, Camera] 36870 - Sony 0x9006: .ð™ârï‘.{.•ân‡öGeG‘š‘`zâ[...]
[MakerNotes, Sony, Camera] 36871 - Sony 0x9007: .ç;.|.cçf.VØÌ£.üêbêØ.ßç¶^O[...]
[MakerNotes, Sony, Camera] 36872 - Sony 0x9008: ..ªø..¼·’.³ôi.Þ.Ð@÷.]:þïó•±ö;Žî;ä‚.ÕH[...]
[PrintIM, PrintIM, Printing] PrintIMVersion - PrintIM Version: 0250
[PrintIM, PrintIM, Printing] 2 - Print IM 0x0002: 0x00000001
[PrintIM, PrintIM, Printing] 257 - Print IM 0x0101: 0x00000000
[Composite, Composite, Image] Aperture - Aperture: 7.1
[Composite, Composite, Image] ImageSize - Image Size: 8x8
[Composite, Composite, Image] Megapixels - Megapixels: 0.000064
[Composite, Composite, Image] ShutterSpeed - Shutter Speed: 1/250
[Composite, Composite, Camera] FocalLength35efl - Focal Length: 12.5 mm
[Composite, Composite, Image] LightValue - Light Value: 14.3
